cluster_id	change_node43	GO_domain_ids	GO_domain_description	IPR_domain_ids	IPR_domain_description	Pfam_domain_ids	Pfam_domain_description
OG0006921	-1	GO:0016787	hydrolase activity 	IPR013094	Domain Alpha/beta hydrolase fold-3	PF07859	alpha/beta hydrolase fold
OG0006922	-1	None	None	IPR044862	Domain Prolyl 4-hydroxylase alpha subunit, Fe(2+) 2OG dioxygenase domain	PF13640	2OG-Fe(II) oxygenase superfamily
OG0006923	-1	GO:0000981;GO:0003677;GO:0006351;GO:0006355;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific ;DNA binding ;DNA-templated transcription ;regulation of DNA-templated transcription ;zinc ion binding 	IPR007219;IPR001138	Domain Transcription factor domain, fungi;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF04082;PF00172	Fungal specific transcription factor domain ;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0006924	-1	None	None	None	None	None	None
OG0006925	-1	GO:0004497;GO:0005506;GO:0016705;GO:0020037	monooxygenase activity ;iron ion binding ;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ;heme binding 	IPR001128	Family Cytochrome P450	PF00067	Cytochrome P450
OG0006926	-1	None	None	None	None	None	None
OG0006927	-1	None	None	IPR023210	Domain NADP-dependent oxidoreductase domain	PF00248	Aldo/keto reductase family
OG0006928	-1	None	None	None	None	None	None
OG0006929	-1	None	None	None	None	PF13561	Enoyl-(Acyl carrier protein) reductase
OG0006930	-1	None	None	IPR002018	Domain Carboxylesterase, type B	PF00135	Carboxylesterase family
OG0006931	-1	None	None	IPR013154;IPR013149	Domain Alcohol dehydrogenase-like, N-terminal;Domain Alcohol dehydrogenase-like, C-terminal	PF08240;PF00107	Alcohol dehydrogenase GroES-like domain;Zinc-binding dehydrogenase
OG0006932	-1	None	None	None	None	None	None
OG0006933	-1	GO:0004497;GO:0005506;GO:0016705;GO:0020037	monooxygenase activity ;iron ion binding ;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ;heme binding 	IPR001128	Family Cytochrome P450	PF00067	Cytochrome P450
OG0006934	-1	GO:0003677;GO:0006351;GO:0008270	DNA binding ;DNA-templated transcription ;zinc ion binding 	IPR007219	Domain Transcription factor domain, fungi	PF04082	Fungal specific transcription factor domain 
OG0006935	-1	None	None	IPR010730	Domain Heterokaryon incompatibility	PF06985	Heterokaryon incompatibility protein (HET)
OG0006936	-1	GO:0004764;GO:0003855	shikimate 3-dehydrogenase (NADP+) activity ;3-dehydroquinate dehydratase activity 	IPR041121;IPR013708;IPR006151;IPR031322;IPR001381	Domain SDH, C-terminal;Domain Shikimate dehydrogenase substrate binding, N-terminal;Domain Quinate/shikimate 5-dehydrogenase/glutamyl-tRNA reductase;Family Shikimate kinase/gluconokinase;Family 3-dehydroquinate dehydratase type I	PF18317;PF08501;PF01488;PF01202;PF01487	Shikimate 5'-dehydrogenase C-terminal domain;Shikimate dehydrogenase substrate binding domain;Shikimate / quinate 5-dehydrogenase;Shikimate kinase;Type I 3-dehydroquinase
OG0006937	-1	GO:0004764	shikimate 3-dehydrogenase (NADP+) activity 	IPR013708	Domain Shikimate dehydrogenase substrate binding, N-terminal	PF08501	Shikimate dehydrogenase substrate binding domain
OG0006938	-1	None	None	IPR013022	Domain Xylose isomerase-like, TIM barrel domain	PF01261	Xylose isomerase-like TIM barrel
OG0006939	-1	GO:0003855	3-dehydroquinate dehydratase activity 	IPR001874	Family Dehydroquinase, class II	PF01220	Dehydroquinase class II
OG0006940	-1	None	None	None	None	None	None
OG0006941	-1	None	None	IPR025444	Family Monooxygenase af470-like	PF13826	Monooxygenase af470-like
OG0006942	-1	GO:0016616;GO:0051287	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ;NAD binding 	IPR006139;IPR006140	Domain D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;Domain D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	PF00389;PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain;D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
OG0006943	-1	None	None	None	None	None	None
OG0006945	-1	GO:0071949	FAD binding 	IPR012941;IPR002938	Domain Phenol hydroxylase-like, C-terminal dimerisation domain;Domain FAD-binding domain	PF07976;PF01494	Phenol hydroxylase, C-terminal dimerisation domain ;FAD binding domain
OG0006946	-1	None	None	None	None	None	None
OG0006948	-1	None	None	IPR013149;IPR013154	Domain Alcohol dehydrogenase-like, C-terminal;Domain Alcohol dehydrogenase-like, N-terminal	PF00107;PF08240	Zinc-binding dehydrogenase;Alcohol dehydrogenase GroES-like domain
OG0006949	-1	GO:0016020;GO:0030001;GO:0046873;GO:0055085	membrane ;metal ion transport ;metal ion transmembrane transporter activity ;transmembrane transport 	IPR002523	Family Mg2+ transporter protein, CorA-like/Zinc transport protein ZntB	PF01544	CorA-like Mg2+ transporter protein
OG0006950	-1	None	None	None	None	None	None
OG0006951	-1	None	None	None	None	None	None
OG0006952	-1	None	None	None	None	None	None
OG0006953	-1	GO:0003735;GO:0005840;GO:0006412	structural constituent of ribosome ;ribosome ;translation 	IPR000077	Family Large ribosomal subunit protein eL39	PF00832	Ribosomal L39 protein
OG0006954	-1	None	None	None	None	None	None
OG0006956	-1	None	None	IPR001753	Family Enoyl-CoA hydratase/isomerase	PF00378	Enoyl-CoA hydratase/isomerase
OG0006957	-1	GO:0003735;GO:0005840;GO:0006412	structural constituent of ribosome ;ribosome ;translation 	IPR002673	Family Large ribosomal subunit protein eL29	PF01779	Ribosomal L29e protein family
OG0006958	-1	None	None	IPR041698	Domain Methyltransferase domain 25	PF13649	Methyltransferase domain
OG0006959	-1	None	None	None	None	None	None
OG0006961	-1	None	None	IPR013154;IPR013149	Domain Alcohol dehydrogenase-like, N-terminal;Domain Alcohol dehydrogenase-like, C-terminal	PF08240;PF00107	Alcohol dehydrogenase GroES-like domain;Zinc-binding dehydrogenase
OG0006962	-1	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 	IPR025887;IPR000322	Domain Glycoside hydrolase family 31, N-terminal domain;Domain Glycoside hydrolase family 31, TIM barrel domain	PF13802;PF01055	Glycosyl hydrolase 31 N-terminal galactose mutarotase-like domain;Glycosyl hydrolases family 31 TIM-barrel domain
OG0006963	-1	None	None	IPR012878	Domain Non-reducing end beta-L-arabinofuranosidase-like, GH127 catalytic domain	PF07944	Beta-L-arabinofuranosidase, GH127 catalytic domain
OG0006964	-1	GO:0008270;GO:0003677;GO:0006351;GO:0000981;GO:0006355	zinc ion binding ;DNA binding ;DNA-templated transcription ;DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription 	IPR007219;IPR013087;IPR001138	Domain Transcription factor domain, fungi;Domain Zinc finger C2H2-type;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF04082;PF00096;PF00172	Fungal specific transcription factor domain ;Zinc finger, C2H2 type;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0006965	-1	None	None	None	None	None	None
OG0006966	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0006967	-1	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups 	IPR000182	Domain GNAT domain	PF13302	Acetyltransferase (GNAT) domain
OG0006968	-1	None	None	None	None	None	None
OG0006969	-1	GO:0003950	NAD+ ADP-ribosyltransferase activity 	IPR012317	Domain Poly(ADP-ribose) polymerase, catalytic domain	PF00644	Poly(ADP-ribose) polymerase catalytic domain
OG0006970	-1	GO:0003677;GO:0006351;GO:0008270;GO:0000981;GO:0006355	DNA binding ;DNA-templated transcription ;zinc ion binding ;DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription 	IPR007219;IPR001138	Domain Transcription factor domain, fungi;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF04082;PF00172	Fungal specific transcription factor domain ;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0006971	-1	None	None	None	None	None	None
OG0006972	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR010291;IPR011701	Family Ion channel regulatory protein, UNC-93;Family Major facilitator superfamily	PF05978;PF07690	Ion channel regulatory protein UNC-93;Major Facilitator Superfamily
OG0006973	-1	GO:0097367;GO:1901135	carbohydrate derivative binding ;carbohydrate derivative metabolic process 	IPR001347;IPR002731	Domain SIS domain;Domain ATPase, BadF/BadG/BcrA/BcrD type	PF13580;PF01869	SIS domain;BadF/BadG/BcrA/BcrD ATPase family
OG0006974	-1	None	None	None	None	None	None
OG0006976	-1	GO:0071949	FAD binding 	IPR002938	Domain FAD-binding domain	PF01494;PF13450	FAD binding domain;NAD(P)-binding Rossmann-like domain
OG0006977	-1	None	None	None	None	None	None
OG0006978	-1	None	None	None	None	PF13561	Enoyl-(Acyl carrier protein) reductase
OG0006979	-1	None	None	IPR013087	Domain Zinc finger C2H2-type	PF00096	Zinc finger, C2H2 type
OG0006980	-1	None	None	IPR010839	Family Acyclic terpene utilisation	PF07287	Acyclic terpene utilisation family protein AtuA
OG0006981	-1	GO:0016616;GO:0051287	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor ;NAD binding 	IPR006140;IPR006139	Domain D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain;Domain D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	PF02826;PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain;D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
OG0006983	-1	None	None	None	None	None	None
OG0006984	-1	None	None	None	None	None	None
OG0006985	-1	None	None	None	None	None	None
OG0006986	-1	None	None	IPR003718	Family OsmC/Ohr family	PF02566	OsmC-like protein
OG0006987	-1	GO:0003824;GO:0050660	catalytic activity ;flavin adenine dinucleotide binding 	IPR004113;IPR006094	Domain FAD-binding oxidoreductase/transferase, type 4, C-terminal;Domain FAD linked oxidase, N-terminal	PF02913;PF01565	FAD linked oxidases, C-terminal domain;FAD binding domain 
OG0006989	-1	None	None	None	None	None	None
OG0006990	-1	GO:0005975	carbohydrate metabolic process 	IPR001223	Domain Glycoside hydrolase family 18, catalytic domain	PF00704	Glycosyl hydrolases family 18
OG0006994	-1	None	None	IPR008030	Domain NmrA-like domain	PF05368	NmrA-like family
OG0006995	-1	None	None	IPR019378	Family GDP-fucose protein O-fucosyltransferase	PF10250	GDP-fucose protein O-fucosyltransferase
OG0006996	-1	None	None	None	None	None	None
OG0006997	-1	None	None	None	None	None	None
OG0007000	-1	None	None	IPR010730	Domain Heterokaryon incompatibility	PF06985	Heterokaryon incompatibility protein (HET)
OG0007001	-1	GO:0016491	oxidoreductase activity 	IPR018713	Domain ER-bound oxygenase mpaB/mpaB'/Rubber oxygenase, catalytic domain	PF09995	ER-bound oxygenase mpaB/B'/Rubber oxygenase, catalytic domain
OG0007002	-1	None	None	None	None	None	None
OG0007004	-1	None	None	None	None	None	None
OG0007005	-1	None	None	None	None	None	None
OG0007007	-1	None	None	None	None	None	None
OG0007008	-1	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 	IPR000757	Domain Glycoside hydrolase family 16	PF00722	Glycosyl hydrolases family 16
OG0007009	-1	None	None	None	None	None	None
OG0007010	-1	None	None	None	None	None	None
OG0007012	-1	None	None	None	None	None	None
OG0007013	-1	None	None	None	None	None	None
OG0007015	-1	GO:0016787	hydrolase activity 	IPR002925	Domain Dienelactone hydrolase	PF01738	Dienelactone hydrolase family
OG0007018	-1	GO:0003677;GO:0006351;GO:0008270;GO:0000981;GO:0006355	DNA binding ;DNA-templated transcription ;zinc ion binding ;DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription 	IPR007219;IPR001138	Domain Transcription factor domain, fungi;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF04082;PF00172	Fungal specific transcription factor domain ;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0007020	-1	GO:0071949	FAD binding 	IPR002938	Domain FAD-binding domain	PF01494	FAD binding domain
OG0007021	-1	GO:0000981;GO:0003677;GO:0006351;GO:0006355;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific ;DNA binding ;DNA-templated transcription ;regulation of DNA-templated transcription ;zinc ion binding 	IPR007219;IPR001138	Domain Transcription factor domain, fungi;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF04082;PF00172	Fungal specific transcription factor domain ;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0007023	-1	None	None	IPR023210	Domain NADP-dependent oxidoreductase domain	PF00248	Aldo/keto reductase family
OG0007024	-1	None	None	None	None	None	None
OG0007025	-1	GO:0004061;GO:0019441	arylformamidase activity ;tryptophan catabolic process to kynurenine 	IPR007325	Family Kynurenine formamidase/cyclase-like	PF04199	Putative cyclase
OG0007026	-1	GO:0016627;GO:0050660	oxidoreductase activity, acting on the CH-CH group of donors ;flavin adenine dinucleotide binding 	IPR009075;IPR006091;IPR013786	Domain Acyl-CoA dehydrogenase/oxidase, C-terminal;Domain Acyl-CoA oxidase/dehydrogenase, middle domain;Domain Acyl-CoA dehydrogenase/oxidase, N-terminal	PF00441;PF02770;PF02771	Acyl-CoA dehydrogenase, C-terminal domain;Acyl-CoA dehydrogenase, middle domain;Acyl-CoA dehydrogenase, N-terminal domain
OG0007027	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR010573	Family Major facilitator transporter Str1/Tri12-like	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0007030	-1	None	None	None	None	PF13602	Zinc-binding dehydrogenase
OG0007031	-1	None	None	None	None	PF05462	Slime mold cyclic AMP receptor
OG0007032	-1	None	None	None	None	None	None
OG0007033	-1	GO:0004497;GO:0005506;GO:0016705;GO:0020037	monooxygenase activity ;iron ion binding ;oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ;heme binding 	IPR001128	Family Cytochrome P450	PF00067	Cytochrome P450
OG0007034	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007035	-1	None	None	None	None	None	None
OG0007036	-1	None	None	IPR005502	Family ADP-ribosylation/Crystallin J1	PF03747	ADP-ribosylglycohydrolase
OG0007037	-1	None	None	IPR025714	Domain Methyltransferase domain	PF13847	Methyltransferase domain
OG0007038	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0007039	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007040	-1	None	None	IPR023631	Domain Amidase signature domain	PF01425	Amidase
OG0007042	-1	GO:0016787	hydrolase activity 	IPR002925	Domain Dienelactone hydrolase	PF01738	Dienelactone hydrolase family
OG0007044	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR010573	Family Major facilitator transporter Str1/Tri12-like	PF06609	Fungal trichothecene efflux pump (TRI12)
OG0007045	-1	GO:0005975	carbohydrate metabolic process 	IPR006148	Domain Glucosamine/galactosamine-6-phosphate isomerase	PF01182	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
OG0007046	-1	GO:0000981;GO:0006355;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription ;zinc ion binding 	IPR001138	Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0007047	-1	GO:0003993;GO:0046872;GO:0016787	acid phosphatase activity ;metal ion binding ;hydrolase activity 	IPR015914;IPR025733;IPR004843	Domain Purple acid phosphatase, N-terminal;Domain Iron/zinc purple acid phosphatase-like C-terminal domain;Domain Calcineurin-like phosphoesterase domain, ApaH type	PF16656;PF14008;PF00149	Purple acid Phosphatase, N-terminal domain;Iron/zinc purple acid phosphatase-like protein C;Calcineurin-like phosphoesterase
OG0007048	-1	None	None	None	None	None	None
OG0007049	-1	GO:0006508;GO:0070008	proteolysis ;serine-type exopeptidase activity 	IPR008758	Family Peptidase S28	PF05577	Serine carboxypeptidase S28
OG0007053	-1	None	None	None	None	None	None
OG0007055	-1	None	None	None	None	None	None
OG0007056	-1	None	None	None	None	None	None
OG0007057	-1	GO:0005524;GO:0016020;GO:0055085;GO:0140359	ATP binding ;membrane ;transmembrane transport ;ABC-type transporter activity 	IPR003439;IPR011527	Domain ABC transporter-like, ATP-binding domain;Domain ABC transporter type 1, transmembrane domain	PF00005;PF00664	ABC transporter;ABC transporter transmembrane region
OG0007058	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007059	-1	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 	IPR020946	Family Flavin monooxygenase-like	PF00743;PF13450	Flavin-binding monooxygenase-like;NAD(P)-binding Rossmann-like domain
OG0007060	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007061	-1	None	None	None	None	None	None
OG0007062	-1	None	None	None	None	None	None
OG0007063	-1	GO:0071949	FAD binding 	IPR002938	Domain FAD-binding domain	PF01494	FAD binding domain
OG0007064	-1	None	None	None	None	PF13561	Enoyl-(Acyl carrier protein) reductase
OG0007065	-1	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 	IPR020946	Family Flavin monooxygenase-like	PF00743	Flavin-binding monooxygenase-like
OG0007066	-1	GO:0003824;GO:0051536	catalytic activity ;iron-sulfur cluster binding 	IPR010722;IPR007197	Domain Biotin and thiamin synthesis-associated domain;Domain Radical SAM	PF06968;PF04055	Biotin and Thiamin Synthesis associated domain;Radical SAM superfamily
OG0007067	-1	None	None	IPR021833	Family Protein of unknown function DUF3425	PF11905	Domain of unknown function (DUF3425)
OG0007073	-1	None	None	None	None	PF13921	Myb-like DNA-binding domain
OG0007074	-1	GO:0016846	carbon-sulfur lyase activity 	IPR006913	Domain CENP-V/GFA domain	PF04828	Glutathione-dependent formaldehyde-activating enzyme
OG0007075	-1	None	None	None	None	PF13489	Methyltransferase domain
OG0007076	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007078	-1	None	None	IPR013154;IPR013149	Domain Alcohol dehydrogenase-like, N-terminal;Domain Alcohol dehydrogenase-like, C-terminal	PF08240;PF00107	Alcohol dehydrogenase GroES-like domain;Zinc-binding dehydrogenase
OG0007079	-1	GO:0003677;GO:0006351;GO:0008270	DNA binding ;DNA-templated transcription ;zinc ion binding 	IPR007219	Domain Transcription factor domain, fungi	PF04082	Fungal specific transcription factor domain 
OG0007080	-1	GO:0016020;GO:0016757	membrane ;glycosyltransferase activity 	IPR003378	Domain Fringe-like, glycosyltransferase domain	PF02434	Fringe-like
OG0007081	-1	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups 	IPR000182	Domain GNAT domain	PF13302	Acetyltransferase (GNAT) domain
OG0007082	-1	GO:0006508;GO:0008236	proteolysis ;serine-type peptidase activity 	IPR000209;IPR010259	Domain Peptidase S8/S53 domain;Domain Peptidase S8 propeptide/proteinase inhibitor I9	PF00082;PF05922	Subtilase family;Peptidase inhibitor I9
OG0007083	-1	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 	IPR020946	Family Flavin monooxygenase-like	PF00743	Flavin-binding monooxygenase-like
OG0007084	-1	GO:0004843;GO:0016579	cysteine-type deubiquitinase activity ;protein deubiquitination 	IPR001394	Domain Peptidase C19, ubiquitin carboxyl-terminal hydrolase	PF00443	Ubiquitin carboxyl-terminal hydrolase
OG0007085	-1	GO:0008195	phosphatidate phosphatase activity 	IPR019236	Domain Phosphatidate phosphatase APP1, catalytic domain	PF09949	Phosphatidate phosphatase APP1, catalytic domain
OG0007086	-1	None	None	IPR002018	Domain Carboxylesterase, type B	PF00135	Carboxylesterase family
OG0007088	-1	GO:0003677;GO:0006351;GO:0008270;GO:0000981;GO:0006355	DNA binding ;DNA-templated transcription ;zinc ion binding ;DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription 	IPR007219;IPR001138	Domain Transcription factor domain, fungi;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF04082;PF00172	Fungal specific transcription factor domain ;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0007089	-1	GO:0016020	membrane 	IPR007568	Family RTA-like protein	PF04479	RTA1 like protein
OG0007090	-1	None	None	None	None	None	None
OG0007091	-1	None	None	None	None	None	None
OG0007092	-1	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0007093	-1	None	None	IPR005321	Family Peptidase S58, DmpA	PF03576	Peptidase family S58 
OG0007094	-1	None	None	IPR002347	Family Short-chain dehydrogenase/reductase SDR	PF00106	short chain dehydrogenase
OG0007095	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007096	-1	None	None	IPR039535	Family Arylsulfotransferase-like	PF14269	Arylsulfotransferase (ASST)
OG0007097	-1	GO:0022857;GO:0055085	transmembrane transporter activity ;transmembrane transport 	IPR011701	Family Major facilitator superfamily	PF07690	Major Facilitator Superfamily
OG0007099	-1	None	None	None	None	None	None
OG0007100	-1	GO:0016787	hydrolase activity 	IPR013094	Domain Alpha/beta hydrolase fold-3	PF07859	alpha/beta hydrolase fold
OG0007101	-1	None	None	None	None	PF13489	Methyltransferase domain
OG0007105	-1	None	None	IPR044861;IPR026992	Domain Isopenicillin N synthase-like, Fe(2+) 2OG dioxygenase domain;Domain Non-haem dioxygenase N-terminal domain	PF03171;PF14226	2OG-Fe(II) oxygenase superfamily;non-haem dioxygenase in morphine synthesis N-terminal
OG0007106	-1	GO:0000981;GO:0006355;GO:0008270	DNA-binding transcription factor activity, RNA polymerase II-specific ;regulation of DNA-templated transcription ;zinc ion binding 	IPR021858;IPR001138	Family Fungal transcription factor;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF11951;PF00172	Fungal specific transcription factor domain;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0007107	-1	GO:0046872	metal ion binding 	IPR006035	Family Ureohydrolase	PF00491	Arginase family
OG0007108	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR002293	Family Amino acid/polyamine transporter I	PF13520	Amino acid permease
OG0007109	-1	None	None	None	None	None	None
OG0007111	-1	GO:0004499;GO:0050660;GO:0050661	N,N-dimethylaniline monooxygenase activity ;flavin adenine dinucleotide binding ;NADP binding 	IPR020946	Family Flavin monooxygenase-like	PF00743	Flavin-binding monooxygenase-like
OG0007112	-1	None	None	None	None	None	None
OG0007114	-1	None	None	None	None	None	None
OG0007115	-1	None	None	None	None	None	None
OG0007117	-1	GO:0004553;GO:0005975	hydrolase activity, hydrolyzing O-glycosyl compounds ;carbohydrate metabolic process 	IPR006102;IPR041625;IPR041447	Domain Glycoside hydrolase, family 2, immunoglobulin-like beta-sandwich;Domain Beta-mannosidase, Ig-fold domain;Domain Mannosidase Ig/CBM-like domain	PF00703;PF17753;PF17786	Glycosyl hydrolases family 2;Ig-fold domain;Mannosidase Ig/CBM-like domain
OG0007118	-1	None	None	None	None	None	None
OG0007120	-1	None	None	None	None	None	None
OG0007121	-1	GO:0005515	protein binding 	IPR000210	Domain BTB/POZ domain	PF00651	BTB/POZ domain
OG0007123	-1	None	None	IPR002575	Domain Aminoglycoside phosphotransferase	PF01636	Phosphotransferase enzyme family
OG0007125	-1	GO:0004672;GO:0005524;GO:0006468	protein kinase activity ;ATP binding ;protein phosphorylation 	IPR000719	Domain Protein kinase domain	PF00069	Protein kinase domain
OG0007126	-1	None	None	None	None	None	None
OG0007127	-1	None	None	None	None	None	None
OG0007128	-1	None	None	None	None	None	None
OG0007130	-1	None	None	None	None	None	None
OG0007133	-1	None	None	None	None	None	None
OG0007139	-1	None	None	None	None	None	None
OG0007140	-1	None	None	IPR000073	Domain Alpha/beta hydrolase fold-1	PF12697	Alpha/beta hydrolase family
OG0007141	-1	None	None	None	None	None	None
OG0007142	-1	None	None	IPR006683	Domain Thioesterase domain	PF03061	Thioesterase superfamily
OG0007145	-1	None	None	None	None	None	None
OG0007146	-1	None	None	None	None	PF13602	Zinc-binding dehydrogenase
OG0007147	-1	GO:0016491	oxidoreductase activity 	IPR003819	Domain TauD/TfdA-like domain	PF02668	Taurine catabolism dioxygenase TauD, TfdA family
OG0007148	-1	None	None	IPR008030	Domain NmrA-like domain	PF05368	NmrA-like family
OG0007149	-1	GO:0016787	hydrolase activity 	IPR006680	Domain Amidohydrolase-related	PF01979	Amidohydrolase family
OG0007150	-1	GO:0003677;GO:0006351;GO:0008270	DNA binding ;DNA-templated transcription ;zinc ion binding 	IPR007219	Domain Transcription factor domain, fungi	PF04082	Fungal specific transcription factor domain 
OG0007151	-1	None	None	None	None	None	None
OG0007152	-1	None	None	IPR008914	Family Phosphatidylethanolamine-binding protein	PF01161	Phosphatidylethanolamine-binding protein
OG0007153	-1	None	None	IPR046529	Domain Domain of unknown function DUF6594	PF20237	Family of unknown function (DUF6594)
OG0007154	-1	None	None	None	None	PF13489	Methyltransferase domain
OG0007155	-1	GO:0016020;GO:0022857;GO:0055085	membrane ;transmembrane transporter activity ;transmembrane transport 	IPR005828	Family Major facilitator, sugar transporter-like	PF00083	Sugar (and other) transporter
OG0007156	-1	None	None	IPR018531	Family Protein of unknown function DUF1993	PF09351	Domain of unknown function (DUF1993)
OG0007157	-1	None	None	None	None	None	None
OG0007158	-1	None	None	IPR013149;IPR013154	Domain Alcohol dehydrogenase-like, C-terminal;Domain Alcohol dehydrogenase-like, N-terminal	PF00107;PF08240	Zinc-binding dehydrogenase;Alcohol dehydrogenase GroES-like domain
OG0007159	-1	None	None	IPR008914	Family Phosphatidylethanolamine-binding protein	PF01161	Phosphatidylethanolamine-binding protein
OG0007160	-1	None	None	IPR008313	Family Metal-independent alpha-mannosidase	PF06824	Metal-independent alpha-mannosidase (GH125)
OG0007161	-1	None	None	None	None	None	None
OG0007162	-1	GO:0000166	nucleotide binding 	IPR000683;IPR004104	Domain Gfo/Idh/MocA-like oxidoreductase, N-terminal;Domain Gfo/Idh/MocA-like oxidoreductase, C-terminal	PF01408;PF02894	Oxidoreductase family, NAD-binding Rossmann fold;Oxidoreductase family, C-terminal alpha/beta domain
OG0007163	-1	None	None	IPR013766	Domain Thioredoxin domain	PF00085;PF13848	Thioredoxin;Thioredoxin-like domain
OG0007164	-1	GO:0006355;GO:0003677;GO:0005634;GO:0045122;GO:0000981;GO:0008270	regulation of DNA-templated transcription ;DNA binding ;nucleus ;aflatoxin biosynthetic process ;DNA-binding transcription factor activity, RNA polymerase II-specific ;zinc ion binding 	IPR013700;IPR001138	Domain Aflatoxin regulatory protein;Domain Zn(2)Cys(6) fungal-type DNA-binding domain	PF08493;PF00172	Aflatoxin regulatory protein;Fungal Zn(2)-Cys(6) binuclear cluster domain
OG0007165	-1	None	None	None	None	None	None
